,ent,type
0,"design, development and manufacture of these products",H_SKILL
1,C,LANG_FRAM
2,Python,LANG_FRAM
3,work independently,S_SKILL
4,passionate,S_SKILL
5,problem solver,S_SKILL
6,agile/scrum environment,H_SKILL
7,CI/CD,H_SKILL
8,Bachelor's degree,REQUIREMENT
9,", or proven development experience",S_SKILL
10,Windows,LANG_FRAM
11,Linux OS,LANG_FRAM
12,HTML,LANG_FRAM
13,CSS,LANG_FRAM
14,Java Script,LANG_FRAM
15,MQTT.,LANG_FRAM
16,Front end/GUI,H_SKILL
17,building & app development,H_SKILL
18,CI/CD,H_SKILL
19,version control,LANG_FRAM
20,GitHub,LANG_FRAM
21,Scrum team development,H_SKILL
22,Agile,H_SKILL
23,analyse design options,H_SKILL
24,oral and written communications skills,S_SKILL
25,interpersonal/extensive team,S_SKILL
26,problem solve,S_SKILL
27,finding effective solutions,H_SKILL
28,excellent work/life,S_SKILL
29,degree,REQUIREMENT
30,Bachelors,REQUIREMENT
31,Masters,REQUIREMENT
32,passion,S_SKILL
33,communication skills,S_SKILL
34,analytical and problem-solving skills,S_SKILL
35,ability to work well in a team environment,S_SKILL
36,Software Testing,H_SKILL
37,Agile,H_SKILL
38,C#,LANG_FRAM
39,Java,LANG_FRAM
40,JavaScript,LANG_FRAM
41,penetration testing,H_SKILL
42,Microsoft,LANG_FRAM
43,Cloud,LANG_FRAM
44,Service Cloud,LANG_FRAM
45,Cloud,LANG_FRAM
46,Pardot,LANG_FRAM
47,Cloud,LANG_FRAM
48,identify areas of improvement. You'll love Reply,H_SKILL
49,Hackathons,LANG_FRAM
50,level design specifications,H_SKILL
51,Bachelor's degree,REQUIREMENT
52,2.1,REQUIREMENT
53,communications skills,S_SKILL
54,passion,S_SKILL
55,Computing,LANG_FRAM
56,Maths and English,H_SKILL
57,GCSE,REQUIREMENT
58,Bachelor’s degree,REQUIREMENT
59,degree,REQUIREMENT
60,Computing / a,H_SKILL
61,quality technical and professional training,H_SKILL
62,technical support,H_SKILL
63,coding,H_SKILL
64,Sigma,LANG_FRAM
65,problem and clearly explain the solution,S_SKILL
66,ability to work in the UK for,S_SKILL
67,write complex code,H_SKILL
68,Python,LANG_FRAM
69,SQL,LANG_FRAM
70,APIs,LANG_FRAM
71,deploy,H_SKILL
72,cloud,LANG_FRAM
73,strong scientific background,H_SKILL
74,formulate deep insights,S_SKILL
75,learn and interpret the latest developments,H_SKILL
76,Assess technology innovations and their commercial,H_SKILL
77,present your research findings,S_SKILL
78,proactive,S_SKILL
79,Master's degree,REQUIREMENT
80,PhD,REQUIREMENT
81,continuously learn,S_SKILL
82,ability to seek out and present compelling new information,S_SKILL
83,attention to detail,S_SKILL
84,problem-solving skills,S_SKILL
85,MS Word,LANG_FRAM
86,Excel,LANG_FRAM
87,PowerPoint,LANG_FRAM
88,work independently,S_SKILL
89,language skills,H_SKILL
90,leadership,S_SKILL
91,presentation skills,S_SKILL
92,write assessments,H_SKILL
93,front end and back end development,H_SKILL
94,coding,H_SKILL
95,javascript,LANG_FRAM
96,front end,H_SKILL
97,node.js,LANG_FRAM
98,PHP,LANG_FRAM
99,SQL,LANG_FRAM
100,MariaDB,LANG_FRAM
101,MongoDB,LANG_FRAM
102,Rust,LANG_FRAM
103,problem solver,S_SKILL
104,logical,S_SKILL
105,organised,S_SKILL
106,think clearly and logically,S_SKILL
107,passion,S_SKILL
108,develop,H_SKILL
109,coding,H_SKILL
110,degree,REQUIREMENT
111,gift,S_SKILL
112,logical,S_SKILL
113,build data warehouses,H_SKILL
114,systems design,H_SKILL
115,development,H_SKILL
116,winning training,S_SKILL
117,API,LANG_FRAM
118,Python,LANG_FRAM
119,technical focus,H_SKILL
120,Python,LANG_FRAM
121,Node.js,LANG_FRAM
122,C#,LANG_FRAM
123,ASP.NET,LANG_FRAM
124,MongoDB,LANG_FRAM
125,SQL Server,LANG_FRAM
126,problem quickly,S_SKILL
127,analytical outlook,S_SKILL
128,willingness to learn,S_SKILL
129,Implementation of a single development lifecycle,H_SKILL
130,Deployment,H_SKILL
131,Go,LANG_FRAM
132,Java,LANG_FRAM
133,REST Services,LANG_FRAM
134,Micro Services,LANG_FRAM
135,SQL,LANG_FRAM
136,NoSQL,LANG_FRAM
137,Docker,LANG_FRAM
138,Hadoop,LANG_FRAM
139,Bitbucket,LANG_FRAM
140,Unix,LANG_FRAM
141,Shell,LANG_FRAM
142,Masters degree,REQUIREMENT
143,Java,LANG_FRAM
144,HTML,LANG_FRAM
145,CSS,LANG_FRAM
146,Angular,LANG_FRAM
147,ML,LANG_FRAM
148,AI,LANG_FRAM
149,ability to take on challenges,S_SKILL
150,address problems head,S_SKILL
151,ability to collaborate,S_SKILL
152,Reading electrical hardware schematics,H_SKILL
153,Agile,H_SKILL
154,Version control systems,LANG_FRAM
155,BEng,REQUIREMENT
156,BSc qualified,REQUIREMENT
157,2:1,LANG_FRAM
158,Degree,REQUIREMENT
159,motivated,S_SKILL
160,proactive,S_SKILL
161,creative,S_SKILL
162,innovative,S_SKILL
163,inquisitive,S_SKILL
164,attention to detail,S_SKILL
165,problem solving,S_SKILL
166,strong scientific background,H_SKILL
167,learn and interpret the latest developments,H_SKILL
168,Assess technology innovations and their commercial,H_SKILL
169,present your research findings,S_SKILL
170,proactive,S_SKILL
171,Master's degree,REQUIREMENT
172,PhD,REQUIREMENT
173,continuously learn,S_SKILL
174,ability to seek out and present compelling new information,S_SKILL
175,attention to detail,S_SKILL
176,problem-solving skills,S_SKILL
177,MS Word,LANG_FRAM
178,Excel,LANG_FRAM
179,PowerPoint,LANG_FRAM
180,work independently,S_SKILL
181,language skills,H_SKILL
182,leadership,S_SKILL
183,presentation skills,S_SKILL
184,write assessments,H_SKILL
185,strong scientific background,H_SKILL
186,semiconductor processing,H_SKILL
187,learn and interpret the latest developments,H_SKILL
188,Assess technology innovations and their commercial,H_SKILL
189,present your research findings,S_SKILL
190,proactive,S_SKILL
191,Master's degree,REQUIREMENT
192,PhD,REQUIREMENT
193,continuously learn,S_SKILL
194,ability to seek out and present compelling new information,S_SKILL
195,attention to detail,S_SKILL
196,problem-solving skills,S_SKILL
197,MS Word,LANG_FRAM
198,Excel,LANG_FRAM
199,PowerPoint,LANG_FRAM
200,work independently,S_SKILL
201,language skills,H_SKILL
202,leadership,S_SKILL
203,presentation skills,S_SKILL
204,write assessments,H_SKILL
205,strong scientific background,H_SKILL
206,learn and interpret the latest developments,H_SKILL
207,Assess technology innovations and their commercial,H_SKILL
208,present your research findings,S_SKILL
209,proactive,S_SKILL
210,Master's degree,REQUIREMENT
211,PhD,REQUIREMENT
212,continuously learn,S_SKILL
213,ability to seek out and present compelling new information,S_SKILL
214,attention to detail,S_SKILL
215,problem-solving skills,S_SKILL
216,MS Word,LANG_FRAM
217,Excel,LANG_FRAM
218,PowerPoint,LANG_FRAM
219,work independently,S_SKILL
220,language skills,H_SKILL
221,leadership,S_SKILL
222,presentation skills,S_SKILL
223,write assessments,H_SKILL
224,centric design,H_SKILL
225,customer relationships,S_SKILL
226,passion,S_SKILL
227,JAVA,LANG_FRAM
228,PYTHON coding,LANG_FRAM
229,continuous training,S_SKILL
230,APIs,LANG_FRAM
231,UI test,H_SKILL
232,database management,H_SKILL
233,Azure,LANG_FRAM
234,"design, development, modification, and maintenance of software products",H_SKILL
235,MSc,REQUIREMENT
236,BSc,REQUIREMENT
237,Java,LANG_FRAM
238,Python,LANG_FRAM
239,understanding of object-oriented concepts,H_SKILL
240,Keen attention to detail,S_SKILL
241,communication skills,S_SKILL
242,collaborative,S_SKILL
243,Android,LANG_FRAM
244,passion,S_SKILL
245,Developing smartphone apps,H_SKILL
246,Writing electronic observations systems,S_SKILL
247,calculate risk scores,H_SKILL
248,Deploying machine-learning algorithms,H_SKILL
249,problem solving,S_SKILL
250,Android,LANG_FRAM
251,2:1,REQUIREMENT
252,iOS,LANG_FRAM
253,passion,S_SKILL
254,Developing smartphone apps,H_SKILL
255,Writing electronic observations systems,S_SKILL
256,calculate risk scores,H_SKILL
257,Deploying machine-learning algorithms,H_SKILL
258,problem solving,S_SKILL
259,C,LANG_FRAM
260,Swift,LANG_FRAM
261,2:1,REQUIREMENT
262,Cloud,LANG_FRAM
263,Service Cloud,LANG_FRAM
264,Cloud,LANG_FRAM
265,Pardot,LANG_FRAM
266,Cloud,LANG_FRAM
267,Mulesoft integration development team,H_SKILL
268,LabCamps and Code,H_SKILL
269,Development/configuration,H_SKILL
270,application integration solutions,H_SKILL
271,MuleSoft middleware,LANG_FRAM
272,Understanding technical software integration design specifications,H_SKILL
273,technical design documents,H_SKILL
274,Bachelor's,REQUIREMENT
275,Master's degree,REQUIREMENT
276,2.1,REQUIREMENT
277,interpersonal,S_SKILL
278,communicative,S_SKILL
279,understand complex business processes,H_SKILL
280,Java,LANG_FRAM
281,Python,LANG_FRAM
282,coding,H_SKILL
283,Relational Databases,LANG_FRAM
284,SQL,LANG_FRAM
285,Software integration as,H_SKILL
286,cloud,LANG_FRAM
287,AI,LANG_FRAM
288,cloud computing,LANG_FRAM
289,"designing, coding and debugging",H_SKILL
