,time_period,new_ent,type,count,proportion_perc,perc_change
0,2024,) MODELLING,H_SKILL,1,0.004148861137617724,0.0
1,2024,***,S_SKILL,1,0.004148861137617724,0.0
2,2024,*** ****,S_SKILL,1,0.004148861137617724,0.0
3,2024,"*, *383",S_SKILL,1,0.004148861137617724,0.0
4,2024,*2024,S_SKILL,1,0.004148861137617724,0.0
5,2024,", INSPIRING, AND THOUGHT",S_SKILL,1,0.004148861137617724,0.0
6,2024,", OR PROVEN DEVELOPMENT EXPERIENCE",S_SKILL,1,0.004148861137617724,0.0
7,2024,-END AUTOMATION SOLUTION,H_SKILL,2,0.008297722275235448,0.0
8,2024,-END FEATURES,H_SKILL,2,0.008297722275235448,0.0
9,2024,-END IMPLEMENTATION,H_SKILL,1,0.004148861137617724,0.0
10,2024,-END PROCUREMENT,H_SKILL,1,0.004148861137617724,0.0
11,2024,-END REAL TIME,H_SKILL,1,0.004148861137617724,0.0
12,2024,-END SOFTWARE DEVELOPMENT LIFECYCLE,H_SKILL,1,0.004148861137617724,0.0
13,2024,-END SOFTWARE LIFECYCLES,H_SKILL,1,0.004148861137617724,0.0
14,2024,-END SOFTWARE SOLUTIONS,H_SKILL,1,0.004148861137617724,0.0
15,2024,-END TECHNICAL ARCHITECTURE AND DEPENDENCY SYSTEMS,H_SKILL,1,0.004148861137617724,0.0
16,2024,-END TEST APPROACH,H_SKILL,1,0.004148861137617724,0.0
17,2024,-END TESTS,H_SKILL,1,0.004148861137617724,0.0
18,2024,-END TRACKING & INSIGHT GATHERING IMPLEMENTATION PROCESS,H_SKILL,1,0.004148861137617724,0.0
19,2024,-FUNCTIONAL INTEGRATION,H_SKILL,1,0.004148861137617724,0.0
20,2024,.NET,LANG_FRAM,57,0.23648508484421024,0.0
21,2024,.NET CORE,LANG_FRAM,5,0.020744305688088622,0.0
22,2024,/APPARATUS,S_SKILL,1,0.004148861137617724,0.0
23,2024,0-3,H_SKILL,1,0.004148861137617724,0.0
24,2024,140.60,LANG_FRAM,1,0.004148861137617724,0.0
25,2024,1:1 COACHING,REQUIREMENT,1,0.004148861137617724,0.0
26,2024,"2,000USD",LANG_FRAM,4,0.016595444550470895,0.0
27,2024,2-3 YEARS OF POST-UNIVERSITY,S_SKILL,1,0.004148861137617724,0.0
28,2024,2.1,H_SKILL,1,0.004148861137617724,0.0
29,2024,22/04/2025,LANG_FRAM,1,0.004148861137617724,0.0
30,2024,240003PL,LANG_FRAM,1,0.004148861137617724,0.0
31,2024,2:1,LANG_FRAM,2,0.008297722275235448,0.0
32,2024,2:1,REQUIREMENT,125,0.5186076422022154,0.0
33,2024,2:2,REQUIREMENT,35,0.14521013981662034,0.0
34,2024,360 DATA,LANG_FRAM,1,0.004148861137617724,0.0
35,2024,3D COMMUNICATION,H_SKILL,1,0.004148861137617724,0.0
36,2024,3D MODELLING,H_SKILL,3,0.012446583412853172,0.0
37,2024,3D MODELS,H_SKILL,1,0.004148861137617724,0.0
38,2024,3D PRINTING,H_SKILL,2,0.008297722275235448,0.0
39,2024,3D STRUCTURE ASSESSMENTS,H_SKILL,1,0.004148861137617724,0.0
40,2024,46.00,S_SKILL,1,0.004148861137617724,0.0
41,2024,5.0,LANG_FRAM,1,0.004148861137617724,0.0
42,2024,55K,S_SKILL,1,0.004148861137617724,0.0
43,2024,A PROVEN TEAM PLAYER,H_SKILL,1,0.004148861137617724,0.0
44,2024,AAPS,LANG_FRAM,9,0.03733975023855952,0.0
45,2024,ABILITY,S_SKILL,2,0.008297722275235448,0.0
46,2024,ABILITY IN MAINSTREAM GIS SOFTWARE,H_SKILL,1,0.004148861137617724,0.0
47,2024,ABILITY READ,H_SKILL,1,0.004148861137617724,0.0
48,2024,ABILITY TO ACCEPT A CHANGE IN PRIORITIES AS NECESSARY,S_SKILL,2,0.008297722275235448,0.0
49,2024,"ABILITY TO ANALYZE COMPLEX DATASETS, IDENTIFY TRENDS, AND EXTRACT MEANINGFUL INSIGHTS",H_SKILL,1,0.004148861137617724,0.0
50,2024,ABILITY TO ANALYZE QUANTITATIVE AND QUALITATIVE DATA,H_SKILL,1,0.004148861137617724,0.0
51,2024,ABILITY TO ANSWER SIMPLE QUESTIONS,S_SKILL,1,0.004148861137617724,0.0
52,2024,ABILITY TO APPLY FOR SC CLEARANCE A MINIMUM OF A,S_SKILL,2,0.008297722275235448,0.0
53,2024,ABILITY TO APPLY YOUR TECHNICAL INSIGHTS,S_SKILL,1,0.004148861137617724,0.0
54,2024,ABILITY TO ASSESS A COMPANY ATTACK SURFACE,H_SKILL,1,0.004148861137617724,0.0
55,2024,"ABILITY TO BE PROACTIVE AND TAKE INITIATIVE, INCLUDING PERFORMANCE OF DUTIES EXERCISING",H_SKILL,1,0.004148861137617724,0.0
